微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
IsZUTaFvs,晴天爱维尼,女,其他,44,234,晴天爱维尼:第一次过了个这样的年，马上就正月十五，这个年就要过去了。每天看着微博上，微信群里发的关于病毒疫情的相关消息，每天看着全国确诊的数字越来越多，自己家乡确诊的数字越来越多，心里就越来越害怕，到底什么时候这个数字能不再增长，心里是肯定我们中国人能挺过这关的，但是我盼望着这天就是明天，越快越好！每天看着微博上好的坏的消息，这个心情就是跟过山车一样，起起伏伏的，心里很多话说不出来，就发个微博留下此刻的心情吧 ,无,2020-02-06 23:26,AI实力派 vivo Z1,0,0,0,无
IsZUO5WYa,鱼饼嫂,女,安徽,139,1531,鱼饼嫂:整个疫情除了狼人杀之外就呆在家追了两部剧，8点的锦衣10点的下一站！锦衣很到位，所以也不枉我周一到周五8点准时打开爱奇艺！但是每天10点准时打开芒果追到现在的下一站我只想说你贺繁星是个什么玩意？？脑残吗？还一个公司的主管？有情商和智商吗？滚……啥叉玩意配不上元宋！气我！男二你都不配拥有！ [组图共2张] 原图 ,无,2020-02-06 23:26,iPhone XS Max,3,0,1,无
IsZUMCJIT,大连户口,男,辽宁,835,219264,大连户口:【2月6日完整版#今日疫情分析#】#湖北不止一个武汉#截至2月5日24时，湖北省确诊病例19665例，超过1000确诊病例的城市有三个。从前些天开始广水、鄂州等一些城市公开发出告急、求援。今天我们关注：武汉之外，湖北其他城市防疫情况如何？面临的困难和挑战有哪些？#新闻1+1#连线呼吸湖北省随州市市长克克、湖北省潜江市委书记吴祖云。  http://t.cn/A6P1xIXF ,无,2020-02-06 23:26,小米6 拍人更美,5,3,1,无
IsZUME5Rd,嘉佳木子,女,河南,148,72,嘉佳木子:李文亮医生去世了。非常为他难过。我要向这位英年早逝的医生致敬。他不仅是一位忠于职守的临床医师，他去年底的特殊经历也给社会留下了值得反思的样本。我相信历史会记住他的。当前疫情危急，李文亮医生未能幸免于夺命之祸，说明了这场战斗的艰巨和复杂。我们大家必须在这个时候团结起来，为了挽救更多患者的生命，为了避免更多的人被染上李文亮医生等人最早警告的病魔而竭尽全力。现在全国都在增援武汉和湖北，我们必须打赢这场战争。李文亮医生千古。 ,无,2020-02-06 23:26,HUAWEI nova手机,6,0,0,无
IsZUH2fKy,小娇娇1101,女,黑龙江,52,56,小娇娇1101:有人说，“我等你”三个字，比“我爱你”三个字，更需要勇气。因为不是每个人你都愿意等，也不是所有人都值得你去等。我们是普通人，但我们的爱从不普通。那些被磨砺过的感情，都会在日后暗淡的日子里，照耀着我们，闪闪发光。疫情肆掠，可前有奔赴一线的英雄，后有始终爱你的家人。我们依然要向上生长。正因为经历过此刻的焦灼，我们才更期待，也更珍惜，即将到来的生活。《流浪地球》里面有一句话说：希望是我们这个年代，像钻石一样珍贵的东西。那些我们难过的、焦虑的，会像夜晚退缩的潮水一样，慢慢退出所有人的视线。而那些我们热爱的、坚信的，会在某一个起风的日子里，被轻轻吹进我们的生命。已经立春了。没有一个冬天不可逾越，没有一个春天不会来临。希望在春暖花开的日子里，我们都会等待爱的人回家。再一起聊一聊漫长的人生。 [组图共3张] 原图 ,无,2020-02-06 23:25,OPPO Reno3 5G,1,0,0,无
IsZUH3KUD,梦一场丶却那么真22,男,湖北,234,4,"梦一场丶却那么真22:#白岩松对话随州市长#这位市长大人全程不提广水，虽然我们确实不是亲生的，但广水真的超级严重好吗?随州一共220万人，广水就占95万，说是有两家二甲医院，到底实力如何，我们广水人心里都有数，平时稍微严重一点的病，一医院就让你转院去武汉，面对这种突发的新型病毒，估计他们也是有心无力，广水目前确诊219例，只有死亡，没有治愈的。之前四位从内蒙来的医护人员没说是援助到随州哪里，但昨天省里肿瘤医院派下来的三四十名医护人员已经明确是派往随州中心医院的，又与广水无关，晚上和爸妈开玩笑，我们广水的危重患者可能只能等死吧，武汉自身难保，也去不了，曾都区和随县和我们又不亲近，太悲哀了。我所在的乡镇，只有一个卫生院，该卫生院设置了发热门诊，但在没有爆发疫情的平时就拒绝接诊高热患者直接让你去城里的一医院。镇上现在只有一个超市开门营业，但货架前几天就全部都空了，这两天没去不知道有没有上货,蔬菜水果基本买不到。路上基本都设置了路障，但是据我奶奶说老家村里的人虽然不出村，但天天麻将扑克打的飞起，也没人管。昨天第一次有人 上门登记体温，今天又没了。广水基本家家户户都有从武汉回来的亲朋，没和武汉回来的人接触的估计很少，但直到前几天我这里一片才有人来统计从武汉回来的人群，而且防控措施采取的也晚，我记得是从正月初-才突然开始一片死寂的，腊月三十的时候街上仍然热热闹闹的。小地方真的是什么都缺，我相信一线的医护 人员和其他公务人员等都已经尽力了，但感觉各类人手都严重不足。加油我的大广水！ ",无,2020-02-06 23:25,vivo智能手机,0,0,0,无
IsZUGa3Hg,豆花儿6120,女,上海,164,63,豆花儿6120:#坚持两周把病毒闷死# 从过年回老家窝在家里哪都没去就在网上看新闻关注疫情到大年初一果断从老家撤离回自己家继续窝起来信息一波一波又一波心情跌宕起伏在家人群里一遍遍呼吁不要串亲戚不要出门不要……一遍一遍又一遍的发送疫情信息给家人就是要不停顶住他们，还有七大姑八大姨，也有一定成效，他们现在都乖乖呆家里了不知道什么时候是个头，我只想好好保护我的小叮当家里有个人咳嗽一声我们都警觉的不得了～希望，平安…… ,无,2020-02-06 23:25,iPhone客户端,0,0,0,无
IsZUwE8VJ,掌印给事中,男,广东,720,1148,掌印给事中:我们对有关国家无视世卫组织专业权威建议、不遵守国际民航组织的公告表示不满和反对，已向有关国家提出严正交涉。有关作法不仅无助于防控疫情，反而人为制造恐慌，严重干扰国际正常人员往来与合作，干扰国际航空运输市场秩序。我们敦促有关国家谨慎考虑，不要过度反应，从维护双边交往合作大局出发，不要限制双方航空公司运营航线航班，按照世卫组织和国际民航组织的建议立即修改政策，纠正做法，以实际行动体现对中国抗击疫情的支持。 ,无,2020-02-06 23:25,iPhone客户端,1,0,0,无
IsZPUnlPw,小向你今天瘦了嘛,男,湖南,884,137,小向你今天瘦了嘛:#抗击疫情 希望同行# 加油呀！！！武汉加油 中国加油！！  [组图共2张] 原图 ,无,2020-02-06 23:14,iPhone客户端,0,0,0,无
IsZMO0QRy,Abigail_Forever,女,江苏,100,46,Abigail_Forever:太难受了，临睡前看到李文亮医生去世的消息，不知道说什么，在互相推诿，抢占论文，功劳时，有多少生命就这样没了。哎，背后又有多少家庭破碎，多少人在这场疫情中失去父母  妻子 丈夫 亲人 为什么会这样，我们知道了问题症结能改嘛？如果能改这些人的牺牲是值得的，如果不呢……那又会如何，无论是人或者tz等都不怕生病，怕的不看医生怕的是不吃药，以为自己很nb可是最终伤害的都是无辜的人。身在这个社会我们能做什么呢？也许唯一能做的就是学会勇敢的发声，不然下一个谁又知道是谁呢哎太痛心了么有逻辑么有头绪只有心疼愿天堂安息，能有人听您讲真话 ,无,2020-02-06 23:06,iPhone客户端,0,0,0,无
IsZMJhB4g,奥斯卡布偶猫咖,女,江西,279,32610,奥斯卡布偶猫咖:#李文亮医生去世# 他最早警告了疫情，却既没能拯救大众，也没能拯救自己。白衣天使可以不怕牺牲，但不能再被屈辱蒙尘！不要让英雄死不瞑目，不要让悲剧再度重演！#萌宠[超话]##布偶猫舍[超话]##布偶猫找家##萌宠##布偶猫##日常吸猫##萌宠的日常##萌宠集中营##猫##萌宠##喵星人##宠物##宠物卖萌中心##布偶猫##猫##猫咪##抗击新型肺炎我们在行动##金渐层##英短金渐层##英短蓝白##美短加白##南昌猫咖##肖战[超话]##热门萌宠榜[超话]##银渐层##吸猫日常[超话]# http://t.cn/A6P1oO2g ,无,2020-02-06 23:06,iPhone XS Max,0,0,0,无
IsZMDEpdi,迷糊拖拉机,女,四川,426,140,迷糊拖拉机:每天看新闻，看那些求助者的微博，都会流泪，止不住地流，太难过了，老百姓太无力了，你和我与他们有什么不同，我们只不过幸运一点而已，没有生活在武汉，武汉只是随机被抽中，这次肺炎发生在其他地方，很大可能情况也是一样，灾难面前人间百态，牛鬼蛇神都出来了，祈祷疫情快快结束，我们都能摘下口罩看到每一个人的笑颜。 ,无,2020-02-06 23:06,iPhone客户端,0,0,0,无
IsZMD27EE,lt坐海观潮,男,北京,2238,2421,lt坐海观潮:【李文亮医生因新冠肺炎于6日晚去世】《环球时报》记者6日晚从多个消息源了解到，武汉市中心医院医生李文亮因新冠病毒感染的肺炎于当日病逝。李文亮此前曾在微信群发布关于华南海鲜市场疫情的信息，之后因“在互联网发布不实言论”被辖区派出所训诫。2月1日上午10时41分，李文亮在自己的微博上公布了其确诊新型冠状病毒肺炎的消息。 原图 ,无,2020-02-06 23:06,Android,0,1,3,无
IsZMCarZ2,萍乡经济技术开发区信息中心,男,北京,1370,4270,萍乡经济技术开发区信息中心:#萍乡身边事# 【刘建中现场督导辖区村、社区新型冠状病毒感染的肺炎疫情防控工作】2月4日上午，经开区党工委副书记、管委会主任刘建中先后来到黄泥塘社区、凤凰山社区、光丰村、玉湖社区、高丰村、硖石社区等地，现场督导基层村、社区新型冠状病毒感染的肺炎疫情联防联控工作。区党政办、卫健委、各社会工作管理局、区委督查室等单位及部门负责人陪同督导。       督导过程中，刘建中仔细查看了解基层村、社区上门上户开展宣传引导、人员摸排工作情况，重点查看了对从湖北武汉等重点地区回萍人员进行登记造册以及实行一对一管控、提供医学观察等服务情况的台账资料，认真听取了各社会工作管理局负责人关于辖区新型冠状病毒感染的肺炎疫情联防联控工作开展情况的工作汇报。      刘建中要求，基层村、社区一要有针对性、目的性地开展摸排工作，有效进行摸排登记，做到流程到位、不留死角、资料齐全、严密排查、科学管控；二要不折不扣落实责任担当，将辖区重点人员具体位置、主要家庭情况、自我隔离时间、观察结果等主要信息制成详细报表，做到全面掌握、心中有数、有序推进、动态管理、完整准确；三要进一步建立健全联防联控机制，细化理顺各个环节步骤，做到职责明确、专人负责、常态开展、督促落实、防控到位。       刘建中强调，当前仍处于疫情防控的关键时期，各级各部门要坚决按照中央、省、市、区重要部署，快速积极响应、周密稳妥安排、切实压实责任、持续迅速行动，充分发挥基层村、社区网格化管理作用，有力有序推进联防联控、群防群控工作，有效实现“防输入、防蔓延、防输出”的疫情防控目标，坚决打赢这场没有硝烟的疫情阻击战。 [组图共7张] 原图 ,无,2020-02-06 23:06,微博 weibo.com,1,0,0,无
IsZMylNjK,骁仔的妈咪,女,山西,553,291,骁仔的妈咪:哪有什么岁月静好，只不过有人替你负重前行。这些日子对于不在重灾区的我们，无非是“闷”在家里不给国家添乱。无聊了看看新闻、看看手机、刷刷微博和抖音，想着中午吃啥、晚上吃啥，累了想睡就睡。对，是很无聊！但是重灾区的同胞们正在生死边缘，垂死挣扎。很幸运我有强大的祖国，有团结的同胞，可是疫情来的太快、太猛。我们做的虽不完善，看到网上有那么多家庭支离破碎、那么多孩子失去母亲陪伴、那么多人是一别永别等来的是骨灰盒。但是，我相信，马上会好！马上会好！我为每个生命祈福，为武汉祈福，为祖国祈福。这场战役我们一定会打赢，只希望快点结束。 ,无,2020-02-06 23:05,iPhone客户端,0,0,0,无
IsZMtCfvG,冒泡的云鱼儿,女,其他,560,206,冒泡的云鱼儿:#云南对大理征用疫情防控物资通报批评# 真是醉了，大理扣口罩固然有错，也已经给大家交代。但各位网友能不能别一棒子打死一群人，云南怎么风俗败坏了，有多少朴素的农民把一年的收成往疫区送，有车的用车运，没车的用摩托车带，总有一些人在为之做出贡献。云南旅游好不好请您自己来玩一玩，别天天在幕后做键盘侠。全国人民都在和病毒作斗争，能不能带上口罩，文明做人。善恶终究有报，请冷静做人。最后祝大家新年快乐[加油] ,无,2020-02-06 23:05,nova6 自拍大不一样,6,1,0,无
IsZKGdfRB,衢州检察,男,浙江,275,15788,衢州检察:【#河北一企业销售假劣口罩被罚180万#】2月5日，河北省市场监管局公布第八批疫情防控期间市场监管领域违法典型案。其中，衡水颖诺医疗器械商贸有限公司虚假宣传案引发关注。根据群众举报，衡水市冀州区市场监督管理局依法对衡水颖诺医疗器械商贸有限公司开展立案调查。经查，该店在销售防护口罩等防护产品时，其天猫店铺网页发布“医用三层一次性无纺布口罩”“外科口罩N95”等虚假宣传内容，且存在哄抬价格违法行为。衡水市冀州区市场监督管理局责令立即改正，并罚款180万元。当事人涉嫌销售假冒伪劣口罩问题已移交当地公安机关。河北市场监管部门提示，群众若发现市场监管领域违法违规问题，请拨打12315投诉举报，各级市场监管部门将从严从快查处。@人民日报 原图 ,无,2020-02-06 23:01,微博 weibo.com,3,2,3,无
IsZKFDjxZ,我的小葡萄也是大明星,女,海外,1686,358,我的小葡萄也是大明星:怎么说呢，小时候经历过非典，可能因为年纪不大，没什么恐慌的感觉。如今这个肺炎，我其实是不怕的，就地理位置和病毒毒力来说我原本是很乐观的，我也没有一直在网上刷关于肺炎的信息，显得冷血，但今天看那个医生停止呼吸，真的很难受，求求疫情快快过去吧，中国加油，不想恐慌的活着，希望大家都活着，平平安安，健健康康，最近看新闻一个一个家散的太快了 ,无,2020-02-06 23:01,iPhone 7 Plus,0,0,0,无
IsZKBcO4z,姚琛_YAOCHEN网宣联盟,男,北京,155,19349,姚琛_YAOCHEN网宣联盟:#姚琛[超话]#[心]#姚琛 手写加油接力#🆘🆘【新词条发布】🆘🆘#姚琛 手写加油接力# 凛冬将尽 暖春将至 战“疫”终会胜利，一切美好如初。和姚琛一起用一笔一划传递美好祝愿 向战斗在抗击疫情一线的所有人致敬。中国加油 武汉加油！🍪 最近词条不是很乐观，大家都辛苦了多带新词条发原创！⭕️词条发布微博希望大家多多评论转发，确保让更多的Cookies看到并行动起来！🙏🏻盟盟也在此希望所有人都能平平安安，健健康康，快快乐乐！希望大家减少外出，出门一定要记得戴口罩，勤洗手，多消毒！待春暖花开之时，我们一起出去玩[加油]@R1SE-姚琛 所有Cookies快来手写加油接力！ [组图共10张] 原图 ,无,2020-02-06 23:01,姚琛超话,168,132,140,无
IsZKzq4xJ,小公举飘洋过海,女,四川,301,256,小公举飘洋过海:【警察不退！湖北加油！来自960万平方公里的同声呐喊】海拔数千米的山顶上、白雪皑皑的边境线旁，公路边、社区里，甚至是飞驰的列车上……来自全国20余个省市的200多位战友，为鏖战疫情、坚守家园的湖北公安、武汉公安鼓劲加油。大家都记着你们🙏，平安归来，辛苦了#抗击疫情公安在行动##我在岗位上##疫情当前警察不退#  http://t.cn/A6PmFo34 ,无,2020-02-06 23:00,荣耀畅玩8C,0,0,0,无
IsZKu6uZh,兰州全媒体,女,甘肃,595,109503,兰州全媒体:#兰州生活##兰州万众一心全民战疫#【#村委会自掏16万为5千村民送菜#：蔬菜分9种，够吃10天】甘肃兰州，疫情期间，为方便村民生活，北面滩新村村委会拿出16万，给775户、5000位村民免费配送蔬菜。蔬菜分9种，每户200元标准，工作人员会将蔬菜放在村民家门口，用小喇叭通知对方，避免相互接触。 http://t.cn/A6PnrsS5 ,无,2020-02-06 23:00,OPPO Find X,0,0,0,无
IsZKiz0uP,沈阳苏家屯公安,男,辽宁,650,14851,沈阳苏家屯公安:#最新疫情地图# 【泪目！#抗疫女军医提前给孩子断奶#】在中部战区总医院，张艳琼所在的感染内科是最早接触确诊患者的团队之一。看着同事们几乎吃住在医院，为了分担他们的值班压力，张艳琼含泪决定提前给宝宝断奶。网友：看哭了千万别自责，孩子长大了会知道，你是最好的妈妈！ （记者董豫   ,无,2020-02-06 23:00,HUAWEI nova 2s,0,0,0,无
IsZKcltIv,长三角铁路,男,上海,1324,1947681,长三角铁路:#春运路上随手拍# @上铁南京客运段官微 说，2月5日，继武汉市因为新型冠状病毒疫情关闭离汉通道后，现温州等地又因近期确诊病例突增，途径温州的高铁车次也相继停运。高三车队担当的G1503/1504次管外直通列车途径五省，却没有因为疫情受影响。党员列车长阚晴晴客服困难，主动请缨，向车队党组织递交请战书。她说：虽然当前疫情形势严峻，但是，只要车次不停运，我必上线路。作为党员列车长，舍我其谁！出退乘认真测量乘务员和华铁人员体温，关注乘务人员身体情况；值乘途中，列车长阚晴晴还是加强了巡视的频次，为旅客测量体温，讲解疫情形式，劝阻旅客不要在车厢里来回走动、取下口罩。 [组图共2张] 原图 ,无,2020-02-06 23:00,微博 weibo.com,11,80,9,无
IsZKaxA9l,陕西铁检,男,陕西,1295,1548,陕西铁检:【黑心商贩#卖7万支7年前口罩被抓# 民警抓捕现场上演灵魂三连怼】2月4日，上海市青浦警方将涉嫌销售不符合标准医用器材的嫌疑人时某抓获。经调查，时某通过网络将2013年生产的7万余只无牌口罩出售给他人，获利2万余元。在抓捕现场，时某还试图狡辩，民警上演灵魂三连怼。#聚焦新冠肺炎疫情#@青浦警坛 http://t.cn/A6P1alFv ,无,2020-02-06 23:00,iPhone客户端,1,0,2,无
IsZJAeSv6,惜今盼明,男,广东,1,1,惜今盼明:2020年的春节假期因为疫情延长再延长，而债务却不会变少而是会增加，工资也没有，可这又能怎样呢，禁足不得外出，外出赚钱也是死，在家躲着也是死，那还不如选择不动呢。昨天看到了追债的短信，心里的无奈和痛苦又再次涌现了出来，负面情绪不断增加，让自己很痛苦，看到了老婆自己晕倒受伤的伤口，泪水就瞬时流了出来，这个傻女人为自己牺牲了很多，而我却不能给她好的生活，甚至说平淡的生活都给不了，整天活在怛忧中。我深知我没有退路，只有好好的一天一天的努力才能让一切恢复正常，10年不够就20年，积极去面对它，再残酷也就这样了吧，至少我们两的身体还算健康，我们还有青春这个本钱吧。 ,无,2020-02-06 22:58,360安全浏览器,0,0,0,无
IsZJndqLq,恩施发布,男,湖北,58,11627,恩施发布:#湖北加油 恩施挺住# 【疫情防控期间医疗保障政策公布！全州经办机构咨询电话在这……】为加强新型冠状病毒感染的肺炎疫情防控，全州医保、财政部门将严格按照国家、省要求对新型冠状病毒感染的肺炎确诊及疑似患者执行特殊医疗保障政策，并采取网上办理、延期办理、事后补正等措施，优化医疗保险（生育保险）经办服务流程，方便用人单位和参保人办理医保业务，减少人员聚集，降低交叉感染风险，阻断疫情传播。详情点击链接。http://t.cn/A6P1Szsn ,无,2020-02-06 22:58,专业版微博,19,1,4,无
IsZJfhzO8,凤凰卫视欧洲台,女,海外,119,7416373,凤凰卫视欧洲台:【 疫情“吹哨人”李文亮去世】《生命时报》前方记者证实，李文亮医生因感染新型冠状病毒肺炎，于2月6日21点30分病逝。据悉，李文亮是武汉市中心医院的一名眼科医生，因最早于2019年12月30日向外界发出防护预警，而被称为疫情“吹哨人”。2月1日，李文亮在自己的微博上公布了其确诊新型冠状病毒肺炎的消息。@生命时报 [组图共2张] 原图 ,无,2020-02-06 22:57,微博 weibo.com,219,34,41,无
IsZJdu2he,龙龙糯米团子16号,男,江苏,66,26,龙龙糯米团子16号:#手写加油接力##武汉人朱一龙为同胞加油#  朱一龙手写加油接力，朱一龙手写字挺拔秀丽、苍劲有力，朱一龙捐款100万元支援武汉，和朱一龙一起为武汉加油，万众一心打赢疫情防控狙击战，#武汉加油# 向光前行，期盼春暖花开🌸@朱一龙   http://t.cn/A6PQoq1s  朱一龙先生平安健康诸事顺利 ,无,2020-02-06 22:57,朱一龙超话,0,0,0,无
IsZJckOCw,嗨牛财经,男,广东,19293,124537,嗨牛财经:实时播报：【为什么还不能预判疫情拐点？专家回应】嗨牛财经讯，王辰院士：拐点指的是人数先持平然后迅速下降，最后归于常态或消除疾病的转折点。现在难以判断拐点的原因是：①疫情的底数不甚清楚，判断根据不足。很多人还没有隔离，社区和家庭的传播相当严重；②病毒的变异未可预期；③大批人员即将返程流动是个考验；④或许还有天气变暖的因素。（央视财经） ,无,2020-02-06 22:57,专业版微博,0,0,0,无
IsZIYqwzr,达州应急,男,四川,331,813,达州应急:#够科普#【高风险暴露人员包括哪些人？如何选择口罩？】疫情当前，我们该如何预防新型冠状病毒感染？专家建议，不同类别的人群，应选择不同的口罩类型。按照防疫工作性质和风险等级，可将人群分为五种类别，其中高风险暴露人员受病毒感染的风险最高，所需的防护等级也最高。高风险暴露人员包括哪些人，又该如何选择口罩？戳↓视频，带你了解高风险暴露人员的口罩选择。#众志成城战疫情##坚持两周把病毒闷死#  http://t.cn/A6P1VcIs ,无,2020-02-06 22:57,小米5X 拍人更美,0,0,0,无
IsZIYrmqF,盐城发布,男,江苏,193,224636,盐城发布:【不同人群如何正确佩戴口罩？最新使用指引来了！】口罩是预防新型冠状病毒感染的重要防线，在目前防护物资紧缺的情况下，根据我市疫情现状，坚持“理性防护，厉行节约”的原则，按照国家发布《预防新型冠状病毒感染的肺炎口罩使用指南》《不同人群预防新型冠状病毒感染口罩选择和使用技术指引》，就普通民众、特殊人群需不需要戴口罩、怎么戴、口罩如何更换及处理等，作出明确要求。戳图查看使用指引↓↓↓ 原图 ,无,2020-02-06 22:57,360安全浏览器,42,15,24,无
IsZIY9HPW,艺星乐乐,女,其他,257,50,艺星乐乐:打卡减肥的第四天，早上起来喝了半碗粥，一个紫薯。中午一碗牛肉米粉，晚上喝了些粥。老是在屋里待着也不饿。现在也只能节食减肥了，疫情再这样，怕家里的东西也维持不了几天了。总有种感觉出去怕无意识把病毒带回家了。所以几天都没出去了，甚至有点不敢出去了。希望这场疫情早点过去，所有的患者早日康复，加油中国！！！ http://t.cn/z8oiFIo 显示地图 ,http://t.cn/z8oiFIo,2020-02-06 22:57,iPhone客户端,0,0,0,无
IsZITnvJ7,衢州检察,男,浙江,275,15788,衢州检察:【感动！#汶川村民自发支援武汉100吨蔬菜#】汶川地震后，汶川县100多名伤者被送到武汉免费救治，“作为汶川人，最应该感恩！”这次疫情发生后，四川汶川县三江镇龙竹村村民主动捐赠，驾车36小时运送100吨新鲜蔬菜驰援武汉。6辆卡车上贴着一句话，纪念这份跨越时空的感动：#汶川感恩你 武汉要雄起#http://t.cn/A6Pm8cEU ,无,2020-02-06 22:56,微博 weibo.com,3,1,2,无
IsZIRAM23,亞豬sugus,女,广东,191,295,亞豬sugus:哈哈哈哈哈哈我是幸运的今年农历生日有家人有7仔成员记挂着（我们的塑料之情还是挺结实的）小婷还特意预订了一份蛋糕给我叮嘱我记得去取后来又特意让我去找她拿礼物，拆她的礼物时就像在挖宝藏还有提前送了我两份礼物噶徐小鱼（第二份我不懂怎么玩）女神又说礼物我帮你保存着疫情下，爱你们——愿女神生日之时我们能在7仔见 [组图共4张] 原图 ,无,2020-02-06 22:56,HUAWEI nova 3i,3,0,3,无
IsZIRANdn,丽江读本,男,云南,1728,77383,丽江读本:【#公安机关公布涉疫情诈骗案三种类型#】截至目前，全国公安机关共破获涉疫情诈骗案件1116起，抓获犯罪嫌疑人294名，追缴赃款660余万元。目前，涉疫情诈骗案件主要有三种类型：一是不法分子谎称可以代购或者囤有医用口罩，当受害人付费购买后，不法分子找各种理由拒不发货或拉黑；二是不法分子冒充慈善或民政部门，向用户发送防控疫情“献爱心”的虚假信息，或搭建虚假官方网站，利用群众的同情心骗取捐款；三是冒充熟人实施诈骗，不法分子潜入QQ、微信群，以防控新型冠状病毒为由，冒充群内成员骗取钱财。（人民日报） ,无,2020-02-06 22:56,微博 weibo.com,2,1,0,无
IsZIO6htX,直播陕南,男,陕西,19370,231611,直播陕南:#汉中身边事#【汉中紧急通告：发现确诊、疑似病例及与其密切接触者的疫点区域一律封闭管控】2月6日， 汉中市新型冠状病毒感染的肺炎疫情防控应急指挥部发布紧急通告，明确对发现确诊和疑似病例的以及与其密切接触者的疫点区域一律实施封闭管控，楼房出现1人封单元、出现2人封整楼、出现3人封小区。通告具体内容如下↓ 原图 ,无,2020-02-06 22:56,南哥的Android,31,6,22,无
IsZILEV93,胜利健康说,女,北京,86,71,胜利健康说:【健康管理之辨别信息】今天看到两则新闻，一则是说某个地方有人传播为了防范疫情晚上要吃9个鸡蛋；另一则是视频上说“粪口传播”就是“吃别人的屎”，引发舆论发酵。如果你在第一时间看到这两则信息，你会相信吗？在疫情之下，人们的潜意识是保护自己的健康，会把更多的注意力放在获得健康知识上，然而在海量的信息中没有一些基础医学知识实在是难以准确甄别的。在当下在这里有几点建议：1、不管是传统媒体还是新媒体，看国家级媒体的各种发布，其数据知识等发布会经过权威专家确认，且不会断章取义博眼球，公信力最高。相信这个层级媒体发布的知识信息比相信其他的来的更安全。2、要火眼金睛，自媒体视频中关键内容如有剪辑要打问号，不要贸然相信，更不要立刻实施，多些求证。第二则新闻就是这样，剪辑后发布，大家看了不知道的就被惊着了！3、知识只有平时积累才能用时不恨少！第一则新闻只是吃几个鸡蛋，结果最多吃撑了，实质伤害较低，如果是其他不可逆转的伤害就得不偿失了！鸡蛋的营养价值主要是蛋白质含量高，蛋白质摄入充分可以保证基本营养需求，保持身体良好状态，再进一步就是保证免疫力在线吧，主要的没有更多了，中国居民膳食指南中对蛋白质的摄入是以肉鱼蛋奶豆结合建议的，鸡蛋也就合着每日最多一个。知道了还会相信吃9个鸡蛋的新闻吗？希望能够帮助到你！ ,无,2020-02-06 22:56,iPhone客户端,0,0,0,无
IsZIJmKRf,葛林-联创世华,男,其他,18604,20987,葛林-联创世华:【湖北医护人员缺口约2250人】湖北省副省长杨云彦6日表示，目前我们疫情防控进入了一个关键的时期，医护人员存在比较大的缺口。现在有9个市、州，向省疫情防控指挥部请求医护人员的支援，初步统计缺口大概是2250人左右，这是一个比较保守的数据。（中新社）@新浪财经客户端 获取全球市场7×24实时滚动播报 http://t.cn/Rdrk3A3 @新浪财经 原图 ,无,2020-02-06 22:56,新浪财经Android版,0,1,0,无
IsZIJmLCv,不倒翁财神,男,福建,1377,2341,不倒翁财神:【净利最高预增12倍！30家上市券商披露2019年业绩状况，近半数同比翻番，多家机构看好2020年表现】受多重因素影响，2019年券业整体业绩大幅改善。截至2月6日，已有30家上市券商披露了2019年全年业绩预告或快报，其中29家净利润同比实现增长，14家增幅在1倍以上，最高的增长12倍！市场行情整体回暖成为多数券商2019年净利润同比增长的主要原因。日前新型冠状病毒感染的肺炎疫情仍在持续，不少券商线下业务受到影响。不过展望2020年全年，多家机构仍看好行业整体发展态势。http://t.cn/A6P1aQOQ ,无,2020-02-06 22:56,OPPO R11 Plus,0,0,0,无
IsZIItnOZ,财经新媒体,男,北京,407,1692822,财经新媒体:【悲痛！疫情“吹哨人”#李文亮医生去世#妻子被感染，一个孩子尚小，一个孩子还未出生】据@环球时报 ，武汉市中心医院医生李文亮因新冠病毒感染的肺炎于今日病逝。李文亮此前曾在微信群发布关于华南海鲜市场疫情的信息，之后因“在互联网发布不实言论”被辖区派出所训诫。2月1日上午10时41分，李文亮在自己的微博上公布了其确诊新型冠状病毒肺炎的消息。此后，其微博再无更新。 [组图共2张] 原图 ,无,2020-02-06 22:56,微博 weibo.com,16,15,8,无
IsZIB6aKb,彡前尘Ru梦灬回忆,男,浙江,26,21,彡前尘Ru梦灬回忆:假设疫情在此刻结束了，大家又将回到自己的位置上，面临的也许还是同样的问题，还是日复一日的麻木生活。我们与其说众志成城打败了病毒，不如说在那些替我们负重前行之人努力下和很多人的牺牲下，病毒暂时放过了我们。《鼠疫》的最后，城门打开了，那场让人绝望的疫情好像已经过去。大家欢天喜地去释放积攒了太久的生命活力。“最激烈的反抗之后，意识到自己什么都没改变，这才叫痛苦。”生活还要继续，那些平凡的痛苦仍然和从前一样，没有从天而降的不经寻找就可以获得的意义，也没有真正的远方，等着我们的还是逃离不了的此刻。我们还是逃不开西西弗斯的宿命，好像被置于起点和终点都确定了的人生中，日复一日压在我们身上的巨石仍然在，曾经的豪情壮志和众志成城，改变不了，就还是荒谬。加缪说，哪里有荒谬哪里就有反抗。只有认清这样的命运，并与之抗争！它不会去炒作任何救赎，除了自己之外谁都不信，这是人的努力，它填补了生命中的空虚，现世就能得到报偿。唯有努力抗争，这才能让一个生命，此刻就能绽放光辉。 ,无,2020-02-06 22:56,荣耀V20 4800万3D相机,0,0,0,无
