微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,content,发布时间,点赞数,转发数,评论数
IrgvunHOo,法律三脚猫,男,安徽,91,198,法律三脚猫:我发表了头条文章:《疫情期间，一定要知道的刑事法律风险！》 疫情期间，一定要知道的刑事法律风险！  ,2020/1/26 13:59,0,0,0
Irgvupdlm,janice_wang666,女,河南,117,13,janice_wang666:疫情防控阻击战：27万国家电网人24小时奋战在一线！ http://t.cn/A6Ptjotj  原图 ,2020/1/26 13:59,0,0,0
Irgvu4Sf8,静听松风寒耶啵LOVE,女,福建,34,11,静听松风寒耶啵LOVE:#与思源一起驰援湖北疫情#小善意，大温暖。我在“一份爱心一份力量，共抗疫情”项目捐款成功！和@王一博公益站 一起用善举温暖更多心灵！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 13:59,0,0,0
Irgvu62ll,郑州城事,男,河南,1133,100034,郑州城事:#郑州[超话]# 【今日起，郑州市民乘坐地铁必须佩戴口罩】据@郑州地铁 消息，根据河南省重大突发公共卫生事件一级响应要求，为进一步加强疫情防控工作，自1月26日起，市民乘客进站乘车时必须佩戴口罩，否则车站工作人员将予阻止劝离。  原图 ,2020/1/26 13:59,2,0,0
Irgvu7AI5,高港发布,男,江苏,45,2304,高港发布:#高港民生#高港区发出减少群体性聚餐活动的倡议，全力防控新型冠状病毒感染的肺炎疫情。  [组图共2张] 原图 ,2020/1/26 13:59,4,3,3
IrgvtumM0,冰溪月imy,女,其他,461,1306,冰溪月imy:#与思源一起驰援湖北疫情#涓滴之水成海洋， 我在“一份爱心一份力量，共抗疫情”项目捐款成功！携手@白鹿my后援会官博，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 13:59,0,0,0
IrgTS8t2K,發光又搖擺,女,湖北,1815,1455,發光又搖擺:#与思源一起驰援湖北疫情# 涓滴之水成海洋，颗颗爱心变希望。我在“一份爱心一份力量，共抗疫情”项目捐款成功！@中华思源工程扶贫基金会一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,1,0,1
IrgTS8WRI,拾柒拾捌贰拾壹,女,江苏,318,30,拾柒拾捌贰拾壹:#与思源一起驰援湖北疫情# 我发起和”拾柒拾捌贰拾壹“一起捐请大家和我一起支持@中华思源工程扶贫基金会 助力公益，让我们从现在开始！一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTS8vuY,濮阳小菌,男,河南,766,14687,濮阳小菌:#关注河南新冠肺炎疫情#快讯！濮阳：全市所有客运班车停运，各汽车站封闭！  快讯！濮阳：全市所有客运班车停运，各汽车站封闭！  濮阳  显示地图 ,2020/1/26 14:59,3,1,7
IrgTS5QPn,YIBO-AURORA,女,辽宁,439,41,YIBO-AURORA:#与思源一起驰援湖北疫情#予人为乐，与己而乐。我在“一份爱心一份力量，共抗疫情”项目捐款成功！让我与@王一博公益站 一道成为传递爱与快乐的使者。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,1,0,0
IrgTRuaqY,芙蓉公安,男,湖南,2235,26015,芙蓉公安:【江西南城一男子散播疫情谣言被拘留】据江西公安通报:1月24日晚，南城县一男子吴某在微信群散布疫情谣言.....#大年初二#  [组图共3张] 原图 ,2020/1/26 14:59,8,1,7
IrgTRuW5V,五通桥警方,男,四川,415,5658,五通桥警方:【防控疫情 蜀黍一直在】出门戴口罩，回家勤洗手，少出门串门，不去凑热闹，有症早就医，口罩要处理，防控疫情，蜀黍一直在！#我愿为你守护##我在岗位上# @乐山公安  [组图共6张] 原图 ,2020/1/26 14:59,4,0,0
IrgTRuaey,WB人间逍遥客,女,其他,139,53,WB人间逍遥客:#与思源一起驰援湖北疫情#涓滴之水成海洋， 我在“一份爱心一份力量，共抗疫情”项目捐款成功！携手@张铭恩国际粉丝后援会，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTRwM9I,我叫夏各应,女,河北,109,88,我叫夏各应:#疫情结束就奔现#啊啦啦啦啦啦啦 遵化市  显示地图 原图 ,2020/1/26 14:59,0,0,0
IrgTRdgpM,海豚爱上猫1990,男,其他,62,1,海豚爱上猫1990:#与思源一起驰援湖北疫情#与爱同路，让爱回家。我在“一份爱心一份力量，共抗疫情”项目捐款成功！愿我和@王一博公益站 一起放大爱的力量！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,2,0,0
IrgTRf9X4,周小昔k,女,其他,6,4,周小昔k:平平安安！(暴富)愿疫情得到控制！  ,2020/1/26 14:59,3,0,0
IrgTRf9X4,周小昔k,女,其他,6,4,周小昔k:平平安安！(暴富)愿疫情得到控制！  ,2020/1/26 14:59,3,0,0
IrgTQBA05,Marlin-,女,吉林,223,237,Marlin-:我的雪季结束的太突然了 我好像失恋了 我太难受了希望早日战胜疫情 恢复公共秩序 我们融创见 加油武汉 加油中国🇨🇳   长春  显示地图 原图 ,2020/1/26 14:59,0,0,1
IrgTQBAUO,非著名八倍镜中毒患者,女,其他,117,36,非著名八倍镜中毒患者:#与思源一起驰援湖北疫情#赠人玫瑰，手有余香。我在“一份爱心一份力量，共抗疫情”项目捐款成功！愿我和@王一博公益站 让爱心传递。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,2,0,0
IrgTQAQeS,黄永耀,男,广东,2698,523146,黄永耀:在疫情没控制下，原来1月31日开市极易造成市场的恐慌，也有可能造成疫情的扩散，因而强烈建议股市延期至2月10日（年十七）再开市！ 因为疫情潜伏期14天，现在疫情没控制，建议股市开市时间改为2月10日  ,2020/1/26 14:59,2089,55,47
IrgTQAQ8m,及Shi行樂a,男,河南,272,22,及Shi行樂a:#与思源一起驰援湖北疫情# 小善意，大温暖。我在“一份爱心一份力量，共抗疫情”项目捐款成功！愿点滴之举温暖更多心灵。@中华思源工程扶贫基金会一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTQjY51,风雨纷纭枫叶,女,海外,307,64,风雨纷纭枫叶:#与思源一起驰援湖北疫情#涓滴之水成海洋， 我在“一份爱心一份力量，共抗疫情”项目捐款成功！携手@王一博公益站，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTQmeur,_鸢小圆不困_,女,其他,512,434,_鸢小圆不困_:#大年初二#害，我妈上班去了，临时调配去挨家挨户排查疫情，一定要平安回家🙏  ,2020/1/26 14:59,5,0,0
IrgTQmeur,_鸢小圆不困_,女,其他,512,434,_鸢小圆不困_:#大年初二#害，我妈上班去了，临时调配去挨家挨户排查疫情，一定要平安回家🙏  ,2020/1/26 14:59,5,0,0
IrgTQmgMz,小呆智小呆,男,北京,444,2656,小呆智小呆:春节里第一场雪❄️愿疫情早日控制愿患者早日治愈[加油] 小呆智小呆的微博视频  ,2020/1/26 14:59,2,0,0
IrgTQjY51,风雨纷纭枫叶,女,海外,307,64,风雨纷纭枫叶:#与思源一起驰援湖北疫情#涓滴之水成海洋， 我在“一份爱心一份力量，共抗疫情”项目捐款成功！携手@王一博公益站，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTQ1yQx,J剩余电量百分之九,男,江苏,611,186,J剩余电量百分之九:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,2020/1/26 14:59,0,0,0
IrgTQ3oIZ,垚垚_85号,女,天津,424,62,垚垚_85号:#与思源一起驰援湖北疫情#涓滴之水成海洋， 我在“一份爱心一份力量，共抗疫情”项目捐款成功！携手@王一博公益站，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTQ3oIZ,垚垚_85号,女,天津,424,62,垚垚_85号:#与思源一起驰援湖北疫情#涓滴之水成海洋， 我在“一份爱心一份力量，共抗疫情”项目捐款成功！携手@王一博公益站，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTQ1yQx,J剩余电量百分之九,男,江苏,611,186,J剩余电量百分之九:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,2020/1/26 14:59,0,0,0
IrgTPsqSq,岁月无痕花无期,女,吉林,118,5,岁月无痕花无期:如果不是来势汹汹的病毒四处蔓延，我应该是看过了震撼人心的梅里日照金山，徒步在这明媚阳光下的去雨崩村的路上……动车路过洱海看到了不一样的景致，想起从前和儿子骑行环游的美好……周围的人都很谨慎，很多都戴了两三层口罩，领孩子的妈妈反复叮嘱孩子注意事项……希望我们都安全，希望新冠肺疫情早日得到控制……平安回家闭关吧 http://t.cn/R2Wxrjp 显示地图 [组图共9张] 原图 ,2020/1/26 14:59,0,0,0
IrgTPa5pf,八组鹅热议,男,北京,304,2987428,八组鹅热议:#明星捐款# 面对疫情大家万众一心，明星们也在尽自己的力量为疫区出力～其中@BIGBIG张大大 为武汉奋斗在一线的医务人员捐款20万。人都是善良的，张大大出道多年多次参与或主持慈善活动，一直心系慈善～ 值得点赞！  [组图共9张] 原图 ,2020/1/26 14:59,2514,625,789
IrgTPaLZB,欣欣欣xin子,女,浙江,439,99,欣欣欣xin子:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,2020/1/26 14:59,0,0,0
IrgTPcldT,闲庭桂落lily,女,河北,98,2284,闲庭桂落lily:#疫情解除前全国禁止野生动物交易#请永久禁止野生动物交易，不是看不起国人，是真的没记性！17年前的非典和这次的疫情带来的灾难和教训还不够吗？！禁止！永久禁止，再有交易的严惩！！！  ,2020/1/26 14:59,18,0,1
IrgTPcna4,CCTV4,男,北京,340,4590880,CCTV4:【内防扩散外防输出！湖北医护人员奋战一线】截至1月25日24时，湖北省累计报告新型冠状病毒感染的肺炎确诊病例1052例，重症病例129例，死亡病例52例。面对疫情，湖北省内防扩散、外防输出，医护人员们连续奋战开展救治，遏制疫情蔓延势头。  CCTV4的微博视频  ,2020/1/26 14:59,23,6,1
IrgTPa4l6,赵润龙欠我一部法拉利,女,其他,42,55,赵润龙欠我一部法拉利:实时更新：新型肺炎疫情最新动态【一个国家再好，都会因为人民的不自觉，导致人害人，唉！】祖国太难了#武汉加油# #全国确诊新型肺炎病例# 实时更新：新型肺炎疫情最新动态  ,2020/1/26 14:59,1,4,0
IrgAfysyr,新浪山西,男,山西,2697,1157648,新浪山西:【#微信散布疫情谣言或被永久封号#！转发承诺：不信谣、不传谣！】微信安全中心昨日发布“关于新型冠状病毒肺炎相关谣言专项治理的公告”：根据国家相关法律法规和相关协议规范，对违规的信息内容进行删除处理，并视其违规程度对违规帐号进行阶梯式处罚：包括但不限于对帐号或帐号功能进行限期或永久封禁处理。支持请转！ 原图 ,2020/1/26 14:11,19,0,3
IrgAbqYuz,战鹰热点,男,北京,235,6368,战鹰热点:【市场监管总局等三部门：禁止野生动物交易】36氪获悉，为严防新型冠状病毒感染的肺炎疫情，阻断可能的传染源和传播途径，市场监管总局、农业农村部、国家林草局决定，即日起至全国疫情解除期间，禁止野生动物交易活动。各地饲养繁育野生动物场所实施隔离，严禁野生动物对外扩散和转运贩卖。各地农（集）贸市场、超市、餐饮单位、电商平台等经营场所，严禁任何形式的野生动物交易活动。 http://t.cn/A6Pt3a8e ,2020/1/26 14:11,0,0,0
IrgA3rbn5,南县公安局,男,湖南,1680,15428,南县公安局:#节日我在岗# 【南安桥、南华大桥、华阁-注滋口交界处已采取物理隔绝措施，严禁通行】1月26日12时，根据南县新型冠状病毒感染的肺炎疫情防控工作指挥部第2号命令，南县浪拔湖南安桥、南洲镇南华大桥、华阁镇-注滋口交界处等三处一级控制点已采取物理隔绝措施，禁止车辆和人员通行，往返常德、岳阳方向的车辆可以从走杭瑞高速绕行。#春节168小时# [组图共4张] 原图 ,2020/1/26 14:11,40,9,54
IrgzWoz23,武汉晚报,女,湖北,424,7460295,武汉晚报:#武汉我们一起加油# 【刚刚！#联勤保障部队疫情防控物资抵达武汉# 】1月26日11时许，载有防护服、消毒药物等救援物资的列车徐徐进站，这是联勤保障部队应湖北省新型冠状病毒感染疫情防护指挥部请求，从各地紧急调运过来的急需医疗物资。据了解，当前武汉市各医疗机构防护器材、消毒药品紧缺。武汉市政府召开紧急会议，研究解决武汉市疫情防控医疗资源紧缺的问题，部分事项请求联勤保障部队支援。1月25日，军委同意了联勤保障部队动用3个品种23760瓶（套、盒）医疗物资支援武汉市疫情防控工作。（总台央广记者孙利） http://t.cn/A6PtjytU ,2020/1/26 14:10,17,4,0
IrgzUhCIH,老猫视评,男,陕西,322,5089,老猫视评:【#河南农村威胁式防疫宣传#：不要串亲戚！#亲戚来了打110带走# 】1月25日，河南多地村委会广播发出通知，提醒村民疫情防控期间减少外出，不要串门走亲戚。“恁要是真不想活了俺也没办法”、“如果发现走亲戚，你半个月不能回镇上”，“你亲戚来我打110把他弄走就说他有病”！@一手Video http://t.cn/A6PtKrxb ,2020/1/26 14:10,0,0,0
IrgTOgJoE,卍卍佛佛佛卍卍阿弥陀佛卍卍,女,澳门,1356,6543,卍卍佛佛佛卍卍阿弥陀佛卍卍:#南平爆料#【#三部门发文禁止野生动物交易#】#疫情解除前全国禁止野生动物交易#26日，市场监管总局、农业农村部、国家林草局三部门联合发文：严防新型冠状病毒感染的肺炎疫情，阻断可能的传染源和传播途径，市场监管总局、农业农村部、国家林草局决定，自本公告发布之日起至全国疫情解除期间，禁止野生动物交易活动。@人民日报关注新浪新闻，#疫情地图#实时更新中：http://t.cn/A6PwArW7 [组图共2张] 原图 ,2020/1/26 14:59,1,0,0
IrgTOeSVT,曉辰,男,香港,4466,183766,曉辰:疫情就在身邊！南通老家確診两例，其中一例就在我出生的大平潮镇！一例疑似居然就在外甥店舖樓上！！老家過年多的是流水席——我一向不太歡喜這種宴席，今年終於有法例來規管了。。。  [组图共2张] 原图 ,2020/1/26 14:59,14,1,6
IrgTO1kcU,我的理想三旬丶,男,陕西,301,176,我的理想三旬丶:建议大家别出门，实在无聊可以和我网恋。疫情结束就奔现，好好在一起，经历过生死离别的人更懂得爱和珍惜。押金一百二，不合适分手退二十。 延安  显示地图 ,2020/1/26 14:59,3,0,0
IrgTO1n5i,她是个很奇特的姑娘,女,其他,70,19,她是个很奇特的姑娘:#与思源一起驰援湖北疫情#我在“一份爱心一份力量，共抗疫情”项目捐款成功！希望我小小的力量和@王一博公益站 一起，在大大的世界里温暖更多人。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,1,0,0
IrgTNFJ2c,J-honorifica,女,广东,241,549,J-honorifica:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,2020/1/26 14:59,0,0,0
IrgTNFII1,疲惫的小明,女,湖北,707,1357,疲惫的小明:这次疫情被迫在家，其实本宅宅已经在家几个月了，也毫无不适感，但是自愿在家和不能出门是两个概念啊，前者是别人要我出门我选择在家，后者有一种被剥夺了自由的感觉……  ,2020/1/26 14:59,1,0,0
IrgTNFHWk,美食博主张温柔,女,黑龙江,389,517,美食博主张温柔:今天是爷爷72周岁生日被冠状病毒搞的连家庭聚餐也没聚爷爷刚刚来楼上送一块奶奶👵亲自熬制的皮肉冻，连门也没进就走了。我让爷爷进屋，我说家里有口罩😷爷爷匆忙就下楼了然后我忽然莫名的想哭本是春节喜气洋洋的日子，搞得连见面都难期待疫情赶快过去吧🙏希望全家人身体康健，平安喜乐🙏 ,2020/1/26 14:59,1,0,2
IrgTNFGZs,用户6942187339,女,吉林,30,1,用户6942187339:#与思源一起驰援湖北疫情#我在“一份爱心一份力量，共抗疫情”项目捐款成功！希望我小小的力量和@王一博公益站 一起，在大大的世界里温暖更多人。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTNpGmG,一只很忙的树懒,女,北京,190,189,一只很忙的树懒:#与思源一起驰援湖北疫情# 为爱前行，我一直在路上。我在“一份爱心一份力量，共抗疫情”项目捐款成功！@中华思源工程扶贫基金会一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTNlzsc,峰言峰语tf,男,北京,341,808,峰言峰语tf:今年春节不出门(受疫情影响)，在家打牌(图1~3)，与奶奶合作双赢(图4~6)，乐的屁颠屁颠的~  [组图共6张] 原图 ,2020/1/26 14:59,1,0,0
IrgTN6oP2,回来6164,女,宁夏,221,46,回来6164:2020特殊的新年，取消了一切走亲访友，希望希望疫情快些过去，大家一切平安。 绿洲  原图 ,2020/1/26 14:59,1,0,0
IrgTMuGmO,张亦轩336,男,贵州,18,184,张亦轩336:#冒个泡# 建议大家别出门，实在无聊可以找我网恋，疫情结束就奔现，好好在一起 经历过生死离别的人，更懂得爱和珍惜♥ 福州·永泰县  显示地图 原图 ,2020/1/26 14:59,2,0,2
IrgTMeDF2,之卿zylyjl,女,陕西,34,17,之卿zylyjl:#与思源一起驰援湖北疫情#涓滴之水成海洋， 我在“一份爱心一份力量，共抗疫情”项目捐款成功！携手@春光予你-张云雷能量站，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTMd1Rt,长春新动态,男,吉林,449,919778,长春新动态:#吉林发布# 【吉林召开新闻发布会 信息公开做到多层次立体通报】26日，大年初二，吉林省召开新型冠状病毒感染的肺炎疫情防控工作新闻发布会。会上透露，截至1月25日24时，吉林省累计报告确诊病例4例（长春市1例，吉林市2例，松原市1例），均为武汉输入病例。目前4名患者分别在属地定点医院隔离救治，并派省级专家进行指导。我省对密切接触者也采取措施，及时隔离、密切观察。目前已追踪到省内密切接触者69人，全部实施医学观察。抗击疫情，我省加强信息公开，官方通报+权威解读+常态化发布疫情信息，还利用主流媒体+新媒体+自媒体等途径持续发布科普知识，提高群众自我防护意识。#吉林启动一级响应# 原图 ,2020/1/26 14:59,0,0,0
IrgTMd1LX,秭归发布,男,湖北,955,22341,秭归发布:《关于进一步严明新型冠状病毒感染肺炎疫情防控工作纪律的通知》  关于进一步严明新型冠状病毒感染肺炎疫情防控工作纪律的通知  ,2020/1/26 14:59,2,0,7
IrgTLCWXJ,手机用户2515757085,男,其他,24,0,手机用户2515757085:坚定信心坚决打赢疫情防控阻击战 http://t.cn/A6P53iQK  原图 ,2020/1/26 14:59,0,0,0
IrgTLBjIk,喵呜tsyy,女,其他,222,103,喵呜tsyy:疫情咱不怕，在家耍起来 喵呜tsyy的微博视频  ,2020/1/26 14:59,2,0,0
IrgTLAMdN,平凉同城,男,甘肃,198,18873,平凉同城:#平凉爆料#【泾川县大云寺·王母宫大景区封闭公告】尊敬的广大游客和市民朋友们：为有效预防和控制新型冠状病毒感染肺炎疫情，切断新型冠状病毒通过聚集性群体文旅活动的传播途径，根据甘肃省文旅厅《关于春节期间暂缓举办大型文化展演展览及聚集性群众文化活动的通知》、平凉市新型冠状病毒感染肺炎疫情联控工作领导小组《关于加强新型冠状病毒感染的肺炎疫情防控工作的通知》工作要求及泾川县疫情联防联控会议精神，从二零二零年一月二十五日十八时起，泾川县大云寺·王母宫大景区暂时停止开放，并取消各类春节文化展演、展览及聚集性群体文化活动，景区开放时间另行通知。给广大游客和市民朋友带来的不便，敬请谅解!泾川县大云寺·王母宫大景区管理委员会2020年1月25日 http://t.cn/RpzZU0t 显示地图 ,2020/1/26 14:59,0,1,0
IrgTLALi0,流沙_橙橙的心旅,女,江苏,217,83,流沙_橙橙的心旅:春节 雨天 疫情 不出门 不聚餐  是不是可以来点烟花  ,2020/1/26 14:59,0,0,0
IrgTLAKmo,睿儿爱百里宝宝,女,河南,218,123,睿儿爱百里宝宝:#与思源一起驰援湖北疫情#我在“一份爱心一份力量，共抗疫情”项目捐款成功！希望我小小的力量和@王一博公益站 一起，在大大的世界里温暖更多人。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTLA0Sh,哎呀王雪啊,女,山东,103,182,哎呀王雪啊:你们在家都干嘛？可以找我网恋，疫情结束就分手，我打字快可以谈很多个，经历过生死离别的人，更懂得爱和珍惜。 押金先给200，不合适分手全退。爱情经不起等待，叫我宝贝就现在  原图 ,2020/1/26 14:59,2,0,1
IrgTLljYZ,铅山发布,男,江西,315,114876,铅山发布:【国新办发布会介绍新型冠状病毒肺炎疫情防控工作】1月26日15时，国务院新闻办公室将举行新闻发布会 ，请国家卫生健康委员会副主任李斌介绍新型冠状病毒感染的肺炎疫情联防联控工作有关情况，并答记者问。 澎湃新闻的微博视频 .  上饶·铅山县  显示地图 ,2020/1/26 14:59,0,0,0
IrgTL0IJi,另有用图,男,贵州,1577,27314,另有用图:#传染病学专家表示疫情已刻不容缓#  昨天有网友在贵阳观水路拍到有人在垃圾桶里捡口罩！不知道是检去干嘛！唉，大家用完的口罩一定要剪烂再丢，毕竟什么人都有！ 贵阳  显示地图 原图 ,2020/1/26 14:59,16,1,1
IrgTL37OT,油叔的眼,男,北京,303,1095025,油叔的眼:【硬核操作！河南村庄为阻止村民大年初二走亲访友，挖掘机连夜断路】为应对疫情，河南上蔡不少村庄调集挖掘机连夜断路，以阻止村民大年初二走亲访友。村民介绍，乡里开过动员会，劝阻村民初二不要走亲访友。村里只会留下一个路口，非要出村的，必须严格落实登记制度。  [组图共3张] 原图 ,2020/1/26 14:59,21,1,8
IrgTKrXej,雨落霖铃_,女,其他,463,173,雨落霖铃_:#与思源一起驰援湖北疫情# 赠人玫瑰，手有余香。我在“一份爱心一份力量，共抗疫情”项目捐款成功！@中华思源工程扶贫基金会一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTJwtsJ,第二镜头,男,北京,156,574689,第二镜头:1月25日，杭州市“冠状病毒肺炎”防控指挥部发布疫情通报：昨夜（24日）10时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，我市与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。属地党委政府和市卫生健康部门将按照医学隔离标准和诊疗规范，做好后续工作。 [组图共6张] 原图 ,2020/1/26 14:59,3,0,0
IrgTJgXKn,赵木杉_ATTO,男,陕西,2145,69117,赵木杉_ATTO:#北电中戏推迟艺考时间#【转发周知！#北电中戏推迟艺考时间#】1月25日，北京电影学院发布公告称，为有效防控疫情，推迟北京电影学院2020年本科、高职招生专业考试工作。此前，中央美术学院、上海戏剧学院、北京舞蹈学院、上海音乐学院、上海视觉艺术学院、上海大学、清华大学美术学院等也陆续发布公告，推迟艺术类校考。  ,2020/1/26 14:59,0,0,0
IrgTICp6p,华创传媒老薄,男,河南,378,563559,华创传媒老薄:你们那里公务员结束假期了吗？#天津公务人员提前结束假期#大疫大灾面前，冲在第一线的还是公务员……连我们这里小四线城市（河南南阳）公务员今天都上岗了！目前真的需要“严防死守”，避免“人传人”的疫情扩散情况出现。致敬他们！ 你们那里公务员结束假期了吗？  ,2020/1/26 14:59,7510,31,275
IrgTIEHMV,还是改为木木真吧,女,其他,581,852,还是改为木木真吧:每天一觉起来就发现浙江又严重了 可能也有人为行为 不知道咋说 献了两天爱心 却发现又被地域黑 突然心寒了 希望明天起来是疫情被控制 浙江已自封自救🙏  ,2020/1/26 14:59,0,0,1
IrgTIFfGo,追农萍妹,女,广东,724,1040,追农萍妹:#与思源一起驰援湖北疫情#小善意，大温暖。我在“一份爱心一份力量，共抗疫情”项目捐款成功！和@超级農農花路助攻队 一起用善举温暖更多心灵！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,0,0,0
IrgTI5Tjn,解析我的爱,女,河南,118,22,解析我的爱:#与思源一起驰援湖北疫情#小善意，大温暖。我在“一份爱心一份力量，共抗疫情”项目捐款成功！和@罗晋后援会 一起用善举温暖更多心灵！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,2,0,0
IrgTI3QNe,可可芭蕾_不要糖,女,浙江,346,152,可可芭蕾_不要糖:#西班牙[超话]# 因为国内疫情严重，临时取消了西班牙行程，现出下面3个城际交通票，价格什么的都好说，只求把损失降到最小！！1.马德里→塞维利亚-高铁票2.1日12：00-14：32 2张2.塞维利亚→马拉加-大巴票2.3日15：00-17：45 2张3.马拉加→格拉纳达-大巴票2.5日11：30-13：30 2张有兴趣的可以微博私信我！！ ,2020/1/26 14:59,1,0,0
IrgTI3Pif,每天都力MAX,女,江苏,117,55,每天都力MAX:#湖南关闭活禽交易市场13家#过年 好无聊 要不要刷个剧 想比如逛逛 可想到肺炎疫情 就害怕 唉…  ,2020/1/26 14:59,0,0,0
IrgTHs9OB,JULY会下雨,女,四川,83,155,JULY会下雨:#与思源一起驰援湖北疫情#小善意，大温暖。我在“一份爱心一份力量，共抗疫情”项目捐款成功！和@Galaxy_fanfan_吴敌风火抡 一起用善举温暖更多心灵！@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情  ,2020/1/26 14:59,2,0,0
IrgTHdF7e,一口杨梅干,男,其他,217,3,一口杨梅干:希望，这样可以防止疫情蔓延，可以调整休息，把以后的假期调到现在。 面对疫情，你希望单位延长假期吗?  ,2020/1/26 14:59,0,0,0
IrgTHawil,河北综合广播,男,河北,688,374626,河北综合广播:【#微信散布疫情谣言或被永久封号#！转发承诺：不信谣、不传谣！】微信安全中心昨日发布“关于新型冠状病毒肺炎相关谣言专项治理的公告”：根据国家相关法律法规和相关协议规范，对违规的信息内容进行删除处理，并视其违规程度对违规帐号进行阶梯式处罚：包括但不限于对帐号或帐号功能进行限期或永久封禁处理。支持请转！（人民日报） 原图 ,2020/1/26 14:59,3,0,0
IrgTHavVy,浙江之声,男,浙江,820,1951073,浙江之声:【台州医院远程会诊为基层医疗机构和市民解答疑问】#关注新冠肺炎##武汉加油，浙里挺你#        武汉新型冠状病毒感染的肺炎疫情发生以来，台州医院在互联网咨询模块中设立“新型冠状病毒肺炎防治专线”，急诊、呼吸、感染等科室专家7*24小时在线，为基层医疗机构提供视频会诊，为市民提供网上答疑，减少百姓的恐惧心理。在台州医院互联网医学中心，急诊科副主任医师秦杰正应约通过视频系统为三门县蛇蟠乡卫生院一名低烧患者进行远程会诊。通过查看检验报告单和影像检查结果，秦杰判断这位患者并不是新型冠状病毒感染的肺炎。        除了为基层医疗机构提供专家远程会诊，台州医院“新型冠状病毒肺炎防治专线”还为广大市民提供每天近1000次的电话、网络咨询和回访。台州医院互联网医学中心副主任谢伯剑说：“卫生院是全科医生，专业科室没有台州医院配置那么齐全，他们发现（疑似）病例，可以远程系统对接我们医院的专家，提供专业回答。”（浙江之声综合临海台） [组图共4张] 原图 ,2020/1/26 14:59,2,1,0
IrgTGyOHS,吉林日报,男,吉林,796,1064711,吉林日报:【吉林省召开新型冠状病毒感染的肺炎疫情防控工作新闻发布会】1月26日下午，我省召开新型冠状病毒感染的肺炎疫情防控工作新闻发布会。会上透露，截至1月25日24时，吉林省累计报告确诊病例4例（长春市1例，吉林市2例，松原市1例），均为武汉输入病例。目前4名患者分别在属地定点医院隔离救治，并派省级专家进行指导。我省对密切接触者也采取措施，及时隔离、密切观察。目前已追踪到省内密切接触者69人，全部实施医学观察。http://t.cn/A6PtkVGI 原图 ,2020/1/26 14:59,16,0,3
